from,from_network,to,to_network,relationship,type,crosses_network
Kelly Hollis,UHS,Laurel Oaks Behavioral Health Center,Rite of Passage,referral/assessment specialist,other,True
Ken Betts,Asst. (north),Daniels Academy,Aspiro,program director,people,True
Ken Betts,Asst. (north),West Ridge Academy,HOPE Group,,unlabelled,True
Ken Betts,Asst. (north),West Ridge Academy,HOPE Group,aftercare / after care services director,people,True
Ken Betts,Asst. (north),Wilderness Quest,Brown Schools/CEDU,field director,people,True
Ken Huey,HOPE Group,Red Mountain Colorado,FHW,founder,people,True
Kendra Meiklejohn,Aspen,Chrysalis Therapeutic Boarding School,Embark,clinical director,people,True
Kera Miller,Eckerd,Equinox RTC,FHW,program director,people,True
Keystone Education and Youth Services,YSI,Alabama Clinical Schools,UHS,owner,corporate,True
Keystone Education and Youth Services,YSI,Universal Health Services,UHS,acquired,corporate,True
Kim Lira,Evolve,Southwood Psychiatric Hospital,Aspen,CEO,people,True
Koinonia Foster Homes,FHW,Craig Rogers,Eckerd,program director,people,True
Kreg Gillman,Altior,Silverado Boys Ranch,Eckerd,executive director,people,True
Kreg Gillman,Altior,RedCliff Ascent,Embark,clinical director,people,True
Kris Archer,FHW,Alpine Academy,Eckerd,family teacher,people,True
Kris Archer,FHW,Utah Youth Village,Eckerd,family teacher,people,True
Kris Archer,FHW,CERTS,CERTS,marketing director,people,True
Krista Zimmerman,Aspiro,Cherry Gulch,HOPE Group,admissions director/nursing supervisor,people,True
L. Jay Mitchell,Asst. (south),Greenbrier Academy,Evolve,cofounder/owner,corporate,True
La Europa Academy,CERTS,Jason Scott Calder,Evolve,therapist,people,True
Lake House Academy,Embark,Cat Jennings,Aspen,founding executive director,people,True
Lake House Academy,Embark,Bryan Tomes,Aspen,academic director,people,True
"Lance ""Horsehair"" Jaggar",WWASPS,North Star Expeditions,Eckerd,cofounder,people,True
Laurel Oaks Behavioral Health Center,Rite of Passage,Universal Health Services,UHS,,unlabelled,True
Lava Heights Academy,Rite of Passage,David Allred,FHW,executive director,people,True
Lee Caldwell,Asst. (north),Turnabout Academy,Aspiro,founder,people,True
Lee Caldwell,Asst. (north),Stillwater Academy,Aspiro,owner/executive director,corporate,True
Lee Wardle,FHW,Distant Drums Beginnings,Asst. (north),cofounder/ / admissions director,people,True
