state,unique_name,facility_name
CALIFORNIA,Boys Hope Girls Hope of Southern California,Boys Hope Girls Hope of Southern California
CALIFORNIA,Boys Republic,Boys Republic
CALIFORNIA,Boys Republic Graves Cottage STRTP,Boys Republic Graves Cottage STRTP
CALIFORNIA,Boys Republic McCormick STRTP,Boys Republic McCormick STRTP
CALIFORNIA,Boys Republic Monrovia Residence,Boys Republic Monrovia Residence
CALIFORNIA,Boys Republic Pomona Residence,Boys Republic Pomona Residence
CALIFORNIA,Boys Republic Silverlake Residence,Boys Republic Silverlake Residence
CALIFORNIA,Breaking the Cycle Treatment Program,Breaking the Cycle Treatment Program
CALIFORNIA,Brighter Horizon Treatment Center,Brighter Horizon Treatment Center
CALIFORNIA,Building Unique Youth Alternatives,Building Unique Youth Alternatives
CALIFORNIA,Bruce & Nelson Residential Facility,Bruce & Nelson Residential Facility
CALIFORNIA,Build Bright Care Group,Build Bright Care Group
CALIFORNIA,Burt Children's Center,Burt Children's Center
CALIFORNIA,Butte County Camp Condor,Butte County Camp Condor
CALIFORNIA,Butte County Juvenile Hall,Butte County Juvenile Hall
CALIFORNIA,Calabasas RTC,Calabasas RTC
CALIFORNIA,California Family Life Center - Hemet House,California Family Life Center - Hemet House
CALIFORNIA,California Family Life Center - Hemet Ranch,California Family Life Center - Hemet Ranch
CALIFORNIA,California Family Life Center - Sunset House,California Family Life Center - Sunset House
CALIFORNIA,"Cameron Youth Home Facilities, Inc.","Cameron Youth Home Facilities, Inc."
CALIFORNIA,Camp Erwin Owen,Camp Erwin Owen
CALIFORNIA,Camp Joseph Scott,Camp Joseph Scott
CALIFORNIA,Camp O'Neal,Camp O'Neal
CALIFORNIA,Camp Resnick,Camp Resnick
CALIFORNIA,Camp Wilmont Sweeney,Camp Wilmont Sweeney
CALIFORNIA,Campus Kilpatrick SYTF,Campus Kilpatrick SYTF
CALIFORNIA,Camry Group Home,Camry Group Home
CALIFORNIA,Canyon Oaks Youth Center,Canyon Oaks Youth Center
CALIFORNIA,Capistrano-By-the-Sea,Capistrano-By-the-Sea
CALIFORNIA,Casa de Amparo - Casa Kids Campus STRTP,Casa de Amparo - Casa Kids Campus STRTP
CALIFORNIA,Casa Esperanza STRTP - Chino,Casa Esperanza STRTP - Chino
