state,unique_name,facility_count,sample_facility_names
UTAH,Crossroads Academy RTC,3,Crossroads Academy RTC | Crossroads Academy RTC | Crossroads Academy RTC
UTAH,Daniels Academy,2,Daniels Academy | Daniels Academy
UTAH,Storm Ridge Ranch,2,Storm Ridge Ranch | Storm Ridge Ranch
UTAH,Sunrise RTC,2,Sunrise RTC | Sunrise RTC
UTAH,Triumph Youth Services/Triumph Academy – Expeditions,1,Triumph Youth Services/Triumph Academy – Expeditions
UTAH,Youth Futures,2,Youth Futures | Youth Futures
VIRGINIA,Restorative Youth Services,2,Restorative Youth Services | Restorative Youth Services
WASHINGTON,Daybreak Youth Services,2,Daybreak Youth Services | Daybreak Youth Services
WEST VIRGINIA,Cammack Children’s Center,1,Cammack Children’s Center
WEST VIRGINIA,Golden Girl Group Home,2,Golden Girl Group Home | Golden Girl Group Home
WISCONSIN,Kansas,2,Kansas | Kansas
WYOMING,Fremont County Group Homes – Boys – Riverton,1,Fremont County Group Homes – Boys – Riverton
WYOMING,Fremont County Group Homes – Girls – Lander,1,Fremont County Group Homes – Girls – Lander
WYOMING,Machaseh Children’s Ranch,1,Machaseh Children’s Ranch
WYOMING,Northwest Wyoming Treatment Center,2,Northwest Wyoming Treatment Center | Northwest Wyoming Treatment Center
WYOMING,St. Joseph’s Children’s Home,1,St. Joseph’s Children’s Home
WYOMING,Wyoming Boys’ School,1,Wyoming Boys’ School
WYOMING,Wyoming Girls’ School,1,Wyoming Girls’ School
